ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF044VTI	HepG2	RORA	MCF7	2959575	16434	25000	2578	357	21
ENCFF044XYZ	HepG2	ZXDC	MCF7	2959575	16434	25000	9359	1538	78
ENCFF045CFL	K562	ZNF274	MCF7	2959575	16434	25000	3153	137	22
ENCFF048BKZ	K562	SRSF3	MCF7	2959575	16434	25000	1806	404	14
ENCFF048GXO	HepG2	MYNN	MCF7	2959575	16434	25000	5579	1133	43
ENCFF048HNT	HepG2	AHDC1	MCF7	2959575	16434	25000	26868	2747	219
ENCFF049BWK	HepG2	E2F1	MCF7	2959575	16434	25000	11834	2158	93
ENCFF049ISU	HepG2	ZC3H8	MCF7	2959575	16434	25000	9675	1844	71
ENCFF049MDN	K562	ZNF764	MCF7	2959575	16434	25000	2881	504	38
ENCFF050KYT	HepG2	ZNF512B	MCF7	2959575	16434	25000	9652	1370	72
ENCFF050QMU	HepG2	SRF	MCF7	2959575	16434	25000	7165	1045	60
ENCFF051FNO	K562	PML	MCF7	2959575	16434	25000	20659	2711	155
ENCFF052BXQ	HepG2	RNF2	MCF7	2959575	16434	25000	12038	1987	92
ENCFF052NNP	HepG2	NBN	MCF7	2959575	16434	25000	1480	53	10
ENCFF053ABJ	K562	ZNF583	MCF7	2959575	16434	25000	9547	1184	86
ENCFF053PDX	K562	PHF20	MCF7	2959575	16434	25000	14111	2083	109
ENCFF053XYZ	K562	POLR2AphosphoS5	MCF7	2959575	16434	25000	30219	3505	260
ENCFF055HMB	HepG2	HNRNPH1	MCF7	2959575	16434	25000	2638	622	18
ENCFF057MJF	HepG2	U2AF1	MCF7	2959575	16434	25000	5990	1386	38
ENCFF057RJK	K562	RREB1	MCF7	2959575	16434	25000	8565	1227	78
ENCFF057SID	K562	NCOA2	MCF7	2959575	16434	25000	3259	116	33
ENCFF058VGZ	K562	ZNF184	MCF7	2959575	16434	25000	12450	1248	99
ENCFF058ZHN	K562	MTA1	MCF7	2959575	16434	25000	16046	1868	143
ENCFF060IPX	HepG2	ZEB1	MCF7	2959575	16434	25000	14129	2122	116
