ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF192MEM	K562	ZNF175	A549	2959575	18142	25000	19009	3167	168
ENCFF193BGB	K562	ZNF397	A549	2959575	18142	25000	2934	716	32
ENCFF195YGC	K562	AFF1	A549	2959575	18142	25000	18822	3270	161
ENCFF195YPT	HepG2	ZBED5	A549	2959575	18142	25000	4820	1673	30
ENCFF197CVM	MCF-7	ZNF217	A549	2959575	18142	25000	27435	5682	202
ENCFF197SXI	K562	FOXA3	A549	2959575	18142	25000	12390	2499	117
ENCFF197YSM	HepG2	KAT8	A549	2959575	18142	25000	36000	8488	274
ENCFF198GZQ	HepG2	TBP	A549	2959575	18142	25000	18270	6115	158
ENCFF198NGY	K562	ELK3	A549	2959575	18142	25000	1479	255	20
ENCFF198OOM	HepG2	SPEN	A549	2959575	18142	25000	27155	7542	201
ENCFF199CQK	K562	TAF7	A549	2959575	18142	25000	10551	3882	100
ENCFF199GFU	K562	NR2C1	A549	2959575	18142	25000	23344	3607	220
ENCFF199NUD	HepG2	KAT7	A549	2959575	18142	25000	18719	6043	123
ENCFF200SDQ	HepG2	REST	A549	2959575	18142	25000	2469	56	19
ENCFF201DBE	A549	RARB	A549	2959575	18142	25000	5378	2590	35
ENCFF202WIO	HepG2	PHF8	A549	2959575	18142	25000	5645	3182	35
ENCFF206BGR	K562	ATF1	A549	2959575	18142	25000	16938	2578	159
ENCFF206KPV	HepG2	SMAD3	A549	2959575	18142	25000	20776	4678	177
ENCFF206LMB	K562	THAP12	A549	2959575	18142	25000	10143	3967	96
ENCFF207MLR	K562	ZNF408	A549	2959575	18142	25000	666	43	4
ENCFF207XCM	K562	ZNF140	A549	2959575	18142	25000	1145	91	10
ENCFF208OME	K562	ZNF700	A549	2959575	18142	25000	2282	239	18
ENCFF209DVO	K562	ZBTB2	A549	2959575	18142	25000	16476	3713	157
ENCFF209MHH	HepG2	CERS6	A549	2959575	18142	25000	2540	945	20
ENCFF209WPT	K562	TEAD2	A549	2959575	18142	25000	4595	589	40
ENCFF209ZVL	A549	HES2	A549	2959575	18142	25000	4250	1648	41
ENCFF211TTD	K562	NONO	A549	2959575	18142	25000	5910	2907	42
ENCFF214ICQ	MCF-7	ESRRA	A549	2959575	18142	25000	8670	1320	65
ENCFF214SNH	K562	TEAD1	A549	2959575	18142	25000	18171	4960	160
ENCFF215FJJ	HepG2	ZNF841	A549	2959575	18142	25000	4254	1562	37
ENCFF215JWS	K562	PHF21A	A549	2959575	18142	25000	7067	1697	58
ENCFF215KQQ	A549	POLR2AphosphoS2	A549	2959575	18142	25000	5884	579	54
ENCFF215UIS	HepG2	ZNF660	A549	2959575	18142	25000	1467	626	12
ENCFF216ISR	HepG2	NR1H2	A549	2959575	18142	25000	4744	1851	32
ENCFF216JWP	HepG2	ZNF710	A549	2959575	18142	25000	23351	5247	187
