ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF481VPQ	HepG2	YEATS2	K562	2959575	15496	25000	21210	3478	174
ENCFF482BEV	HepG2	ATF5	K562	2959575	15496	25000	5721	829	54
ENCFF482JEG	HepG2	NFATC3	K562	2959575	15496	25000	6610	1116	35
ENCFF482QHM	HepG2	ZBTB39	K562	2959575	15496	25000	9856	1140	77
ENCFF482XKY	HepG2	ZNF781	K562	2959575	15496	25000	12724	1917	109
ENCFF485CTI	HepG2	DR1	K562	2959575	15496	25000	12479	2072	104
ENCFF485SII	HepG2	POLR2G	K562	2959575	15496	25000	39814	4198	334
ENCFF486BXB	A549	SREBF1	K562	2959575	15496	25000	2486	504	22
ENCFF486IUH	A549	ELK1	K562	2959575	15496	25000	443	120	5
ENCFF486LNN	HepG2	CBX5	K562	2959575	15496	25000	18394	2595	156
ENCFF486MHG	HepG2	PRDM15	K562	2959575	15496	25000	12589	1444	82
ENCFF486PIE	HepG2	ZNF333	K562	2959575	15496	25000	10992	1480	85
ENCFF488DML	HepG2	ELF4	K562	2959575	15496	25000	10824	1819	82
ENCFF488OTN	K562	KLF16	K562	2959575	15496	25000	17866	5456	159
ENCFF488VNT	MCF-7	SUZ12	K562	2959575	15496	25000	5161	505	35
ENCFF489IWB	MCF-7	NFIB	K562	2959575	15496	25000	22217	1436	169
ENCFF489SJO	HepG2	NFIL3	K562	2959575	15496	25000	40165	3576	325
ENCFF490TYP	HepG2	HMGA1	K562	2959575	15496	25000	133	15	0
ENCFF491EEI	K562	FOXP1	K562	2959575	15496	25000	12571	3173	115
ENCFF491UBF	K562	PTRF	K562	2959575	15496	25000	3929	1318	33
ENCFF492BXK	HepG2	ARID4B	K562	2959575	15496	25000	52076	5818	432
ENCFF492FGH	HepG2	MTERF2	K562	2959575	15496	25000	9099	1291	83
ENCFF493DXA	K562	MAFG	K562	2959575	15496	25000	41965	4434	365
ENCFF493LZB	K562	ZNF695	K562	2959575	15496	25000	1697	597	17
ENCFF493UFO	HepG2	MED1	K562	2959575	15496	25000	42869	4367	335
ENCFF494FXL	HepG2	KLF13	K562	2959575	15496	25000	5056	720	38
ENCFF495BPY	K562	ZHX1	K562	2959575	15496	25000	3399	1179	18
ENCFF496HIK	HepG2	ZNF646	K562	2959575	15496	25000	11477	972	96
ENCFF496PIQ	K562	GTF3C2	K562	2959575	15496	25000	2052	440	16
